Se envió DHCP_OFFFER a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:38:26 COT 2013
Recibido REQUEST de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:38:27 COT 2013
Se envió DHCP_ACK a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:38:27 COT 2013
Recibido REQUEST de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:38:35 COT 2013
Recibido REQUEST de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:38:36 COT 2013
Recibido REQUEST de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:38:38 COT 2013
Recibido DISCOVERY de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:38:42 COT 2013
Se envió DHCP_OFFFER a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:38:42 COT 2013
Recibido REQUEST de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:38:44 COT 2013
Se envió DHCP_ACK a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:38:44 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:43:13 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:43:15 COT 2013
Recibido DISCOVERY de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:43:17 COT 2013
Se envió DHCP_OFFFER a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:43:17 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:43:17 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:43:17 COT 2013
Recibido DISCOVERY de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:43:45 COT 2013
Se envió DHCP_OFFFER a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:43:45 COT 2013
Recibido REQUEST de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:43:47 COT 2013
Se envió DHCP_ACK a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:43:47 COT 2013
Recibido REQUEST de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:43:48 COT 2013
Se envió DHCP_ACK a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:43:48 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:44:41 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:44:41 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:44:47 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:44:47 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:46:18 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:46:18 COT 2013
